Col 1, Degree, Minute, Second
1, 0, 24, 16
2, 0, 48, 34
3, 1, 12, 46
4, 1, 37, 0
5, 2, 30, 12
6, 2, 25, 22
7, 2, 49, 30
8, 3, 13, 35
9, 3, 37, 37
10, 4, 30, 38
11, 4, 25, 32
12, 4, 49, 24
13, 5, 13, 11
14, 5, 36, 53
15, 6, 0, 31
16, 6, 24, 01
17, 6, 47, 26
18, 7, 10, 45
19, 7, 33, 57
20, 7, 57, 03
21, 8, 20, 0
22, 8, 42, 50
23, 9, 05, 32
24, 9, 28, 05
25, 9, 50, 29
26, 10, 12, 46
27, 10, 34, 57
28, 10, 56, 44
29, 11, 18, 25
30, 11, 39, 55
31, 12, 01, 20
32, 12, 22, 30
33, 12, 43, 28
34, 13, 04, 14
35, 13, 24, 47
36, 13, 45, 06
37, 14, 05, 11
38, 14, 25, 02
39, 14, 44, 39
40, 15, 04, 04
41, 15, 23, 10
42, 15, 42, 02
43, 16, *, 38
44, 16, 18, 58
45, 16, 37, 20
